time	V(out)	V(n001)	V(n002)
3.481462565979744e-007	9.097488e-003	8.172833e-001	9.130176e+000
3.490512608777036e-007	8.864511e-003	7.359842e-001	8.340945e+000
3.499562651574328e-007	8.629725e-003	6.546440e-001	7.611814e+000
3.508612694371620e-007	8.393127e-003	5.732626e-001	6.942784e+000
3.517662737168912e-007	8.154719e-003	4.918401e-001	6.333854e+000
3.526712779966203e-007	7.914500e-003	4.103764e-001	5.785025e+000
3.535762822763495e-007	7.672471e-003	3.288715e-001	5.296297e+000
3.544905679906353e-007	7.426805e-003	2.465081e-001	4.841218e+000
3.554048537049211e-007	7.180221e-003	1.641419e-001	4.418607e+000
3.563191394192069e-007	6.932719e-003	8.177294e-002	4.028464e+000
3.572334251334926e-007	6.684299e-003	-5.988138e-004	3.670788e+000
3.581477108477784e-007	6.434961e-003	-8.297334e-002	3.345579e+000
3.590619965620642e-007	6.184705e-003	-1.653507e-001	3.052837e+000
3.599762822763500e-007	5.933530e-003	-2.477307e-001	2.792563e+000
3.608905679906358e-007	5.681839e-003	-3.300939e-001	2.552615e+000
3.618048537049216e-007	5.429782e-003	-4.124203e-001	2.329786e+000
3.627191394192074e-007	5.177359e-003	-4.947101e-001	2.124076e+000
3.636334251334931e-007	4.924570e-003	-5.769632e-001	1.935485e+000
3.645477108477789e-007	4.671416e-003	-6.591796e-001	1.764014e+000
3.654619965620647e-007	4.417896e-003	-7.413594e-001	1.609661e+000
3.663762822763505e-007	4.164010e-003	-8.235025e-001	1.472427e+000
3.672905679906363e-007	3.910000e-003	-9.055893e-001	1.345910e+000
3.682048537049221e-007	3.655973e-003	-9.876000e-001	1.228420e+000
3.691191394192078e-007	3.401929e-003	-1.069535e+000	1.119956e+000
3.700334251334936e-007	3.147869e-003	-1.151394e+000	1.020518e+000
3.709477108477794e-007	2.893793e-003	-1.233176e+000	9.301064e-001
3.718619965620652e-007	2.639700e-003	-1.314883e+000	8.487211e-001
3.727762822763510e-007	2.385590e-003	-1.396514e+000	7.763622e-001
3.736905679906367e-007	2.131620e-003	-1.478049e+000	7.096541e-001
3.746048537049225e-007	1.877875e-003	-1.559469e+000	6.477053e-001
3.755191394192083e-007	1.624356e-003	-1.640774e+000	5.905158e-001
3.764334251334941e-007	1.371061e-003	-1.721964e+000	5.380855e-001
3.773477108477799e-007	1.117991e-003	-1.803039e+000	4.904145e-001
3.782619965620656e-007	8.651459e-004	-1.883999e+000	4.475027e-001
3.791762822763514e-007	6.125260e-004	-1.964844e+000	4.093502e-001
3.800887822763515e-007	3.607358e-004	-2.045396e+000	3.742298e-001
3.810012822763516e-007	1.093523e-004	-2.125796e+000	3.416141e-001
3.819137822763516e-007	-1.416244e-004	-2.206042e+000	3.115032e-001
3.828262822763517e-007	-3.921943e-004	-2.286135e+000	2.838970e-001
3.837387822763518e-007	-6.423574e-004	-2.366076e+000	2.587956e-001
3.846512822763518e-007	-8.921138e-004	-2.445863e+000	2.361990e-001
3.855637822763519e-007	-1.141463e-003	-2.525498e+000	2.161071e-001
3.864780679906377e-007	-1.390805e-003	-2.605115e+000	1.975383e-001
3.873923537049235e-007	-1.639586e-003	-2.684540e+000	1.802943e-001
3.883066394192093e-007	-1.887805e-003	-2.763774e+000	1.643751e-001
3.892209251334950e-007	-2.135464e-003	-2.842816e+000	1.497807e-001
3.901352108477808e-007	-2.382561e-003	-2.921666e+000	1.365111e-001
3.910494965620666e-007	-2.629097e-003	-3.000324e+000	1.245662e-001
3.919637822763524e-007	-2.875072e-003	-3.078790e+000	1.139462e-001
3.925637822763524e-007	-3.036131e-003	-3.130164e+000	1.073614e-001
3.931637822763525e-007	-3.196901e-003	-3.181442e+000	1.011105e-001
3.937637822763525e-007	-3.357380e-003	-3.232625e+000	9.519365e-002
